id,title,feedback_correct,feedback_incorrect
2b9e27af-84b4-47dd-be96-e9589fbc3ddd,cats | dogs,"A very perceptive choice. Cats are often viewed as independent and unpredictable (IS), while dogs are seen as loyal, structured pack animals (IT).","The majority has a different perspective. The crowd tends to see the ""wilder"" feline nature as IS and the ""disciplined"" canine nature as IT."
534b0f19-1a92-4e67-b5cf-33f6f6c5ecdb,celestial | terrestrial,"Logically sound. The celestial realm is the infinite and ethereal (IS), while the terrestrial is the grounded and material (IT).","That choice doesn't quite align with the crowd. Most players map the ""heavens"" to the unmanifested IS and the ""earth"" to the dense IT."
c17dff7c-bf6b-4b0c-91f8-315eabe6ddf0,child | elder,"Most players see it exactly that way. A child represents the spark of new potential (IS), while an elder represents the crystallized structure of a life lived (IT).","Not quite what the collective had in mind. The consensus is that the active ""becoming"" is IS and the ""finished"" structure is IT."
c0dd88e5-b658-4eae-88fe-f9c5856ea235,circle | square,"You’ve hit the consensus. The circle represents infinite, natural flow (IS), while the square represents man-made, geometric rigidity (IT).",The group's intuition led them elsewhere. Most people map the organic curve to IS and the hard-angled box to IT.
d3e72d88-5876-47ce-9d3b-d6aa183a819a,city | country,"Nailed it! The country represents the raw, natural flow of the wild (IS), while the city is the dense, constructed grid of IT.",That isn't how the majority perceives this pair. The crowd generally sees the organic wilderness as IS and the urban infrastructure as IT.
643eb866-100f-4e8b-a093-d01f89539be3,city apartment | country cottage,"You’ve found the rhythm of the pair. The cottage represents a simpler, more organic way of living (IS), while the apartment is part of a dense, multi-layered structure (IT).","Most players didn’t see it that way. The crowd typically maps the ""closer to nature"" home to IS and the ""urban unit"" to IT."
038d7436-fd9d-4962-bf14-7eb4779a0088,clipboard | sketchpad,"Superb. A sketchpad is for free-form, creative expression (IS), while a clipboard is for organized, structured data (IT).","That mapping hasn't gained much traction. Most see the ""blank slate"" of art as IS and the ""rigid holder"" of lists as IT."
cdf08e7d-a0ca-4b60-b28c-5b289dbc2824,clock | hourglass,"Exactly right. The hourglass shows the literal, fluid flow of time (IS), while the clock is a mechanical, ticking structure (IT).","The crowd's consensus shifted the other way. Most players feel the ""falling sand"" resonates with IS while the ""gear-driven"" clock is IT."
10b4a722-f3c9-4053-b1d6-18af216b23b2,comedy | tragedy,"Brilliant. Comedy represents the light, uplifting release of energy (IS), while tragedy represents the heavy, unavoidable structure of fate (IT).","While an interesting angle, most players didn’t agree. The consensus is that the ""levity"" of comedy is IS and the ""gravity"" of tragedy is IT."
02168c4b-5e2d-45fe-a0bc-9a23f6164e31,constraint | freedom,"Bingo. Freedom is the expansive, uninhibited state of IS, while constraint provides the necessary boundaries of IT.","Most players found a different logic here. Most see the ""unbound"" state as the essence of IS and the ""limit"" as the definition of IT."
73783dd9-a39a-4987-81b1-617aaf049b06,curve | straight,"That’s a keen observation. Curves represent the organic, fluid movement of nature (IS), while straight lines represent geometric precision (IT).","A unique view, but the crowd didn't follow. The crowd typically maps the ""swaying"" curve to IS and the ""rigid"" line to IT."
c0019854-1af7-49aa-916b-6e3ae95b8c6d,deep | shallow,"Spot on! Depth represents the profound, infinite internal realm of IS, while shallow represents the surface-level materiality of IT.","The crowd doesn’t concur on this one. Most players map the ""unseen depth"" of awareness to IS and the ""visible surface"" to IT."
2effe55f-0ae9-4046-941c-f891733b98e6,desert | forest,"A masterstroke of mapping. The forest is a high-energy, living system of growth (IS), while the desert represents the stark, static density of IT.","Most players didn’t see it that way. The majority perceives the ""teeming life"" of the woods as IS and the ""barren stillness"" of the desert as IT."
5ba4aaea-8c5b-40b8-bd08-4187f28ae063,deviant | normal,"You’ve unlocked that duality. Deviance is the unpredictable, unique flow of IS, while normal is the established, repeatable structure of IT.","That isn’t the consensus answer. Most people map the ""break from the mold"" to IS and the ""standard template"" to IT."
dd623aef-d4ec-4dff-9f02-06674ea6b697,do | stuff,"Exactly right. ""Do"" is the active verb of the animating IS, while ""stuff"" represents the inert objects of IT.","The majority has a different perspective. The crowd typically maps the ""action"" to IS and the ""material things"" to IT."
3e4d0766-2bf2-4560-b715-2b9ba825249d,dynamic | static,"Logically sound. Dynamic represents the constant change and flow of IS, while static represents the fixed, unmoving state of IT.","That choice doesn't quite align with the crowd. Most players see the ""ever-shifting"" as the essence of IS and the ""frozen"" as IT."
f9f52d21-6ba4-4cff-974a-b6ae24e9157f,eagle | snake,"You’re seeing the pattern. The eagle represents the soaring, expansive sky-energy of IS, while the snake is the grounded, earth-bound form of IT.","The group's intuition led them elsewhere. Most people map the ""higher"" spirit of the eagle to IS and the ""lower"" material plane of the snake to IT."
8b4794b3-9c5a-484a-bde6-1284d229c690,electricity | magnetism,"Harmonious mapping. Electricity is the active, moving current of IS, while magnetism provides the attractive, structural field of IT.","Most players found a different logic here. The crowd typically sees the ""flowing charge"" as IS and the ""fixed poles"" as the structure of IT."
2d451566-ef07-4e12-9d43-a9eb102ae911,energy | matter,"Perfect alignment. Energy is the pure animating force of IS, while matter is the materialized, dense structure of IT.","The collective consensus points elsewhere. Most players map the ""intangible power"" to IS and the ""tangible substance"" to IT."
6e16773a-170b-4dad-ba82-51ed67f2a045,eternal | temporary,"You are in sync with the Construct. The eternal represents the infinite, unchanging source of IS, while the temporary is a fleeting manifestation in IT.","It’s a matter of opinion, but most disagree. Most map the ""infinite presence"" to IS and the ""momentary form"" to IT."
6e5981d0-d8d5-46b2-90b7-ae5fd37319e5,ethereal | material,"Superb. Ethereal qualities are formless and light like IS, while material objects are the definition of IT.","That mapping hasn't gained much traction. The consensus is that the ""ghostly"" essence is IS and the ""physical"" stuff is IT."
49338c9f-3aaf-42ab-868e-750c5b65f574,expand | contract,"You’ve got it. Expansion is the outward, generative growth of IS, while contraction is the tightening into the density of IT.","Interesting take, though it’s not the common one. The crowd generally associates ""opening up"" with IS and ""closing in"" with IT."
da7548f5-2d61-4024-85dc-ed37f533eb1c,external | internal,"A very perceptive choice. The internal is the subjective realm of awareness (IS), while the external is the objective world of things (IT).","That isn't how the majority perceives this pair. The majority maps the ""inner self"" to the animating force and the ""outer world"" to the material structure."
f2f4e84d-b711-4610-ad62-7e4f1a933ef0,familiar | novel,"Brilliant. Novelty represents the unique, new spark of IS, while the familiar represents the comfortable, established structure of IT.","Not quite what the collective had in mind. Most players see the ""new experience"" as IS and the ""known routine"" as IT."
36395995-eb32-401b-a4a1-c1541b7248f7,family | house,"Nailed it! The family is the living, breathing unit of energy (IS), while the house is the physical, protective shell of IT.","Most members view this one differently. Most players associate the ""living connection"" with IS and the ""bricks and mortar"" with IT."
81739961-d064-42f6-883d-25230f908f33,fast | slow,"Way to go. Speed represents the high-frequency vibration of IS, while slowness represents the heavy, rhythmic density of IT.","While an interesting angle, most players didn’t agree. The crowd typically maps ""rapidity"" to the active flow and ""deliberation"" to the structure."
629a3471-eb76-4836-857e-f6c7a2dd3654,fine | coarse,"Exactly right. Fine details represent the subtle, high-frequency resonance of IS, whereas coarse textures represent the heavy density of IT.",The crowd doesn’t concur on this one. Most players map the refined or subtle to IS and the rough or unrefined to the material IT.
d913eddc-175b-46e6-8923-45ce132834c0,first | last,"Logically sound. The ""first"" is the spark of initiation and beginning (IS), while the ""last"" is the final, crystallized conclusion (IT).","Most people seem to lean the other direction. Most see the ""alpha"" as the animating impulse and the ""omega"" as the final structure."
32debe7f-04f7-4626-807b-0b1754e09acd,flexible | rigid,"Spot on! Flexibility allows for the fluid, adaptive movement of IS, while rigidity defines the static, unchanging nature of IT.","That isn’t the consensus answer. Most players see the ""yielding"" quality as the essence of IS and the ""stiff"" quality as the material IT."
23ec1722-2878-44cb-8f4b-f65bd726ce9d,form | function,"A masterstroke of mapping. Function is the active ""doing"" or purpose (IS), while form is the physical structure that houses it (IT).","The majority has a different perspective. The crowd typically maps the ""animating purpose"" to IS and the ""physical shape"" to IT."
7c94e831-b954-4e97-bd50-8585b3ac2e7e,fresh | stale,"Bingo. Freshness represents the vibrant, new energy of IS, whereas staleness represents the stagnant, rigid decay of IT.","That choice doesn't quite align with the crowd. The crowd generally associates ""new energy"" with IS and ""old structure"" with IT."
991d51e4-dae2-4f36-9a4d-6aad2fb01d71,generous | greedy,"Brilliant. Generosity is the expansive, outward flow of IS, while greed is the contracting, inward accumulation of IT.","The group's intuition led them elsewhere. Most map the ""giving"" nature to the flow of IS and the ""hoarding"" nature to the density of IT."
34b20475-3719-4f5d-a0aa-88a18ff7c794,genuine | superficial,"You’re seeing the pattern. Genuineness is the authentic, deep essence of IS, while superficiality is the shallow, outer layer of IT.","It’s a matter of opinion, but most disagree. The consensus is that the ""truth"" of a person is IS and the surface appearance is IT."
f5ba1140-1bb6-427d-a49b-75b36af11491,give | take,"Perfect alignment. Giving is the active, outward broadcast of IS, while taking is the receptive, inward collection of IT.","Most players found a different logic here. The majority maps the ""active output"" to IS and the ""material acquisition"" to IT."
ee6264b1-f694-4726-a6d4-0c5ac8f55942,go | stop,"You’ve got it. ""Go"" represents the kinetic movement and flow of IS, while ""stop"" is the static, fixed boundary of IT.","The collective consensus points elsewhere. Most see the ""movement"" as the essence of IS and the ""halt"" as the structural limit."
0c102eb0-3ddf-4ebe-a58e-d7fa0ccb58d6,here | there,"Nailed it! ""Here"" is the immediate, present awareness of IS, while ""there"" identifies a separate, distant object or location in IT.","That mapping hasn't gained much traction. Most players map the ""subjective center"" to IS and the ""objective distance"" to IT."
1763ccd1-1e39-484b-a15f-8b0e0761fe2d,hope | despair,"Great intuition. Hope is the uplifting, forward-looking energy of IS, while despair is the heavy, stagnant weight of IT.","Not quite what the collective had in mind. The consensus is that the ""lightness"" of hope belongs to IS and the ""gravity"" of despair to IT."
63f0086a-8657-485e-932a-6e31fd041670,hot | cold,"Way to go. Heat represents the high-frequency vibration of IS, while cold represents the low-frequency, dense state of IT.","Most members view this one differently. Most players associate ""thermal energy"" with IS and the ""lack of movement"" with IT."
6dd336be-d3f2-48d6-8cdf-025fd4d45d5e,human | robot,"Top-tier answer. Humans are the conscious, animating agents of IS, while robots are the mechanical, programmed structures of IT.","Interesting take, though it’s not the common one. The crowd maps the ""biological spark"" to IS and the ""silicon structure"" to IT."
0dd73a8c-06a1-4d4b-abde-f61a62de7c20,interesting | boring,"You are in sync with the Construct. Interest is an active, engaging energy of IS, while boredom is the flat, uninspiring state of IT.","That isn't how the majority perceives this pair. Most players map the ""spark"" of interest to IS and the ""dullness"" of boredom to IT."
9f216343-ffc2-488c-86fa-58379b241606,invisible | visible,"Superb. The invisible is the unmanifested field of potential (IS), while the visible is the manifested reality of IT.","While an interesting angle, most players didn’t agree. Most players map the ""unseen force"" to IS and the ""seen object"" to IT."
9858e2f6-cf2c-43b1-8305-d9f5064a7e9b,joy | depression,"Bingo. Joy is the high-frequency, expansive radiation of IS, while depression is the heavy, collapsed density of IT.","The crowd doesn’t concur on this one. Most players map the ""uplifting spark"" of joy to IS and the ""stagnant weight"" of depression to IT."
1f3955d9-d919-477a-82cb-0ba173d9faca,leader | follower,"You’ve got it. The leader represents the initiating, driving force of IS, while the follower represents the supportive, structured path of IT.","Most players didn’t see it that way. The consensus is that the ""animating spark"" is the leader and the ""implementing structure"" is the follower."
182cfb6f-8c5a-4891-b303-293c2a7718fb,lecture | rock concert,"Spot on! A rock concert is a high-energy, shared experience of IS, while a lecture is a structured, formal delivery of IT.","That isn’t the consensus answer. The crowd generally sees the ""raw energy"" of a concert as IS and the ""rigid format"" of a lecture as IT."
713819f6-2e07-4502-b424-6acb0b23bd16,levity | gravity,"Brilliant. Levity represents the lightness and rising energy of IS, while gravity represents the pulling, grounding weight of IT.","The majority has a different perspective. Most players map the ""upward flow"" to IS and the ""downward pull"" to the material density of IT."
4925129a-0e1b-4a2a-ac15-e5f0376f0c49,life | death,"You’re seeing the pattern. Life is the active, animating presence of IS, while death is the return to the inert, material state of IT.","That choice doesn't quite align with the crowd. The majority perceives the ""vital spark"" as IS and the ""static remains"" as IT."
1788928b-14b2-4575-baab-ae9057b568e7,light | heavy,"Logically sound. Lightness represents the unburdened frequency of IS, while heaviness represents the material accumulation of IT.","The group's intuition led them elsewhere. Most people map the ""unbound"" quality to IS and the ""mass-heavy"" quality to the material IT."
c2b29f6d-cd2f-4c9b-9ad4-967ea39be41a,lock | key,"Exactly right. The key is the active, informational agent of IS, while the lock is the physical, structural barrier of IT.","Most players found a different logic here. The crowd typically sees the ""active opener"" as IS and the ""static mechanism"" as the material IT."
3fbc83a6-1032-425e-965c-69c4ad6e07ce,logical | creative,"Nailed it! Creativity is the novel, unpredictable flow of IS, while logic is the step-by-step, formal structure of IT.","The collective consensus points elsewhere. Most map the ""original spark"" to IS and the ""sequential framework"" to IT."
7910d0ce-2365-421e-9734-727903f44647,love | hate,"Harmonious mapping. Love is the expansive, unifying radiation of IS, while hate is the contracting, divisive density of IT.","It’s a matter of opinion, but most disagree. The consensus is that the ""openness"" of love is IS and the ""closed"" nature of hate is IT."
ac3641e8-080d-427e-9c24-638d25f88c9b,mirror | window,"A very perceptive choice. A window allows the direct, outward flow of sight (IS), while a mirror is a reflective, opaque surface of IT.","That mapping hasn't gained much traction. Most players map the ""openness"" to IS and the ""reflective barrier"" to the material IT."
44285b69-159b-4c37-81e7-22643ec0fda9,motivation | apathy,"Superb. Motivation is the internal driving energy of IS, while apathy is the inert, stagnant state of IT.","Not quite what the collective had in mind. Most see the ""fuel for action"" as IS and the ""lack of movement"" as the density of IT."
115f4eb5-861d-4f08-9ae7-aabceb7295fb,nature | technology,"Great intuition. Nature represents the organic, self-organizing flow of IS, while technology is the man-made, artificial structure of IT.","Most members view this one differently. Most players associate the ""wild flow"" with IS and the ""constructed tool"" with IT."
39d246cf-b802-4194-a7dd-97648109cbc4,new | old,"You are in sync with the Construct. ""New"" represents the fresh emergence and potential of IS, while ""old"" represents the crystallized, historical structure of IT.","Interesting take, though it’s not the common one. The crowd maps the ""initial spark"" to IS and the ""settled form"" to IT."
1ef03495-d25e-4bdd-a0d6-52644c8f3343,now | then,"Perfect alignment. ""Now"" is the immediate, living presence of IS, while ""then"" is a fixed point in the memory or structure of time, IT.","That isn't how the majority perceives this pair. Most players map the ""living present"" to IS and the ""static timeline"" to IT."
9f8bb0f2-1d40-4afc-8735-29093e807b9a,observer | observed,"Way to go. The observer is the pure, subjective awareness of IS, while the observed is the objective ""thing"" of IT.","While an interesting angle, most players didn’t agree. The consensus is that the ""Subject"" is the source of awareness and the ""Object"" is the material."
c59d4fff-36cc-4916-bfa6-dbaf32caa305,ocean | mountain,"You’ve hit the consensus. The ocean is a vast, ever-moving body of energy (IS), while the mountain is the stable, immovable structure of the earth (IT).","The crowd doesn’t concur on this one. Most players see the fluid, rhythmic ""flow"" of water as IS and the solid, static rock as IT."
ed9f035a-adc1-48e3-821c-d13f73928232,odd | even,"Exactly right. Odd numbers represent the asymmetric, prime potential of IS, while even numbers represent the balanced, symmetrical structure of IT.","That isn’t the consensus answer. Most people map the ""unbalanced"" spark to IS and the ""stable"" pairing of even numbers to IT."
6f7c43ca-3731-467a-8f5d-0f19ca47621c,officer | comedian,"Brilliant. The comedian represents the spontaneous, disruptive energy of IS, while the officer represents the rigid, social structure of IT.","The majority has a different perspective. The crowd typically maps the ""wildcard"" energy to IS and the ""enforced order"" to the structure of IT."
fd6e798d-54d6-44e0-bc45-f308e9d06776,old | young,"You’re seeing the pattern. Youth is the vibrant, active emergence of potential (IS), while the old represents the crystallized, historical form of IT.","Most players didn’t see it that way. The majority perceives the ""becoming"" of the young as IS and the ""finished"" structure of the old as IT."
32d5b60a-5567-4b3a-a4a0-66c24ad6452d,on | off,"Spot on! ""On"" represents the active, powered flow of energy (IS), while ""off"" represents the inert, disconnected state of IT.","That choice doesn't quite align with the crowd. The consensus is that the ""flow of current"" is IS and the ""stagnant"" state is the baseline IT."
ad54aecd-815f-415e-8e67-05eef6e159b3,one | zero,"Logically sound. ""One"" is the primary unit of existence and presence (IS), while ""zero"" is the placeholder for the unmanifested void (IT).","The group's intuition led them elsewhere. Most people map the ""Absolute One"" to the source of IS and the ""Zero"" to the structural empty set of IT."
e01ce487-268f-4364-af29-42cde0b5f16f,open | close,"Perfect alignment. Opening is the expansive, uninhibited state of potential (IS), while closing is the definitive boundary of structure (IT).","Most players found a different logic here. The crowd typically maps the ""unlocked"" flow to IS and the ""sealed"" container to IT."
613abd38-9679-42e5-a23d-034451de304f,optimism | pessimism,"You’ve got it. Optimism is the uplifting, forward-reaching energy of IS, while pessimism is the contracting, grounded density of IT.","It’s a matter of opinion, but most disagree. Most map the ""expanding light"" to IS and the ""contracting weight"" to the density of IT."
dd10d8fa-70e4-4370-9620-3d4114d622c5,organic | artificial,"Harmonious mapping. Organic represents the self-organizing flow of life (IS), while artificial represents the man-made, constructed form of IT.","The collective consensus points elsewhere. Most players associate the ""wild flow"" of nature with IS and the ""manufactured"" with IT."
c6cb4ed1-f1a5-4043-923d-a986e25a7499,original | copy,"A masterstroke of mapping. The original is the unique, initial source of the spark (IS), while the copy is the repeatable, material replication of IT.","That mapping hasn't gained much traction. The consensus is that the ""authentic spark"" is IS and the ""template"" is the material IT."
69a6e20c-c910-4154-bed0-6d9e656ceb97,past | future,"Bingo. The future is the unmanifested potential of IS, while the past is the recorded, fixed structure of time, IT.","Not quite what the collective had in mind. Most players feel the ""unknown"" belongs to IS and the ""known/fixed"" belongs to IT."
7fe96f07-dd9a-41f6-8321-02dbe298d4c3,peace | anxiety,"Superb. Peace is the harmonious, high-frequency state of alignment (IS), while anxiety is the erratic, dense clutter of IT.","Most members view this one differently. Most players associate the ""pure flow"" with IS and the ""mental noise"" with the density of IT."
8a6879a7-29bd-4e84-9918-61a8dbb5cabc,permissive | authoritarian,"Great intuition. Permissiveness allows for the free-form flow of energy (IS), while authoritarianism is the rigid, top-down structure of IT.","Interesting take, though it’s not the common one. The crowd maps the ""unbound"" state to IS and the ""enforced limits"" to IT."
b34f7a6c-80c6-4e00-959e-15baae325ac0,phone | book,"You are in sync with the Construct. A phone is an active, real-time communication device (IS), while a book is a static, crystallized record of information (IT).","That isn't how the majority perceives this pair. Most players map the ""flowing signal"" to IS and the ""bound pages"" to the material IT."
240c4808-e7ba-4c10-95d3-63f863d78d72,playground | jail cell,"Nailed it! A playground represents spontaneous, free-form play (IS), while a jail cell represents the ultimate physical constraint of IT.","While an interesting angle, most players didn’t agree. The consensus is that the ""free movement"" is IS and the ""restrictive cage"" is the material IT."
5d207cbf-7eed-4640-8b52-b42103b14006,politician | singer,"Brilliant. The singer represents the raw, emotional expression of IS, while the politician operates within the rigid, formal structures of IT.","The crowd doesn’t concur on this one. Most players map the ""voice of the soul"" to IS and the ""structural governance"" to IT."
b29abae6-e3b8-49dd-a017-a6e7d1685545,positive | negative,"You’ve got it. Positive charge represents the active, outward broadcast of IS, while negative represents the grounding, receptive state of IT.","That isn’t the consensus answer. The majority perceives the ""plus"" as the animating flow and the ""minus"" as the material limit."
84705f35-cdba-4355-921e-db0688d40939,present | absent,"Spot on! Presence is the immediate, active ""happening"" of IS, while absence is the void or non-manifestation of IT.","The majority has a different perspective. Most people map the ""current state of being"" to IS and the ""lack of thingness"" to IT."
a3d26b39-98b9-4e7c-bffa-a0b3af31535b,pure | impure,"You’re seeing the pattern. Purity represents the undifferentiated, original state of IS, while impurity represents the mixture and density of IT.","That choice doesn't quite align with the crowd. The consensus is that the ""untainted source"" is IS and the ""cluttered manifestation"" is IT."
186e6a52-c8cb-496e-89ba-8d10776c7440,questions | answers,"Logically sound. Questions represent the open-ended potential and search of IS, while answers are the crystallized, finished structures of IT.","The group's intuition led them elsewhere. Most see the ""curiosity"" as the spark of IS and the ""defined fact"" as the structure of IT."
3236fd60-cddd-437d-882d-426ba3d30a7f,reality | illusion,"Perfect alignment. Reality represents the Absolute Infinite source of IS, while illusion represents the transient, materialized ""shadows"" of IT.","Most players found a different logic here. The crowd typically maps the ""essential truth"" to IS and the ""manifested mask"" to IT."
450c5fe3-1333-47f3-9a73-e1560283578c,relaxed | tense,"Nailed it! Relaxation allows for the fluid, uninhibited flow of IS, while tension is the rigid, contracted state of IT.","It’s a matter of opinion, but most disagree. Most map the ""yielding"" quality to IS and the ""tightened"" quality to the density of IT."
7ddc777a-3978-43c1-85a7-69392d45dfa5,responsible | dependent,"Harmonious mapping. Responsibility is the internal, driving agency of IS, while dependency relies on the external, existing structures of IT.","The collective consensus points elsewhere. Most players associate ""self-animation"" with IS and ""relying on the frame"" with IT."
abbd7a1a-7657-449d-ab77-3bd1d1006c72,rock | cloud,"A masterstroke of mapping. A cloud is a shifting, dynamic, and gaseous form of IS, while a rock is a dense, static, and solid object of IT.","That mapping hasn't gained much traction. The consensus is that the ""ever-changing"" is IS and the ""immovable stone"" is the material IT."
a13096fc-8f9e-4d2c-b9f8-6df040f1dcc0,rule | exception,"Bingo. The exception represents the unique, unpredictable break in flow (IS), while the rule is the repeatable, governing structure (IT).","Not quite what the collective had in mind. Most players see the ""wildcard"" as the spark of IS and the ""standard"" as the template of IT."
5f43e164-e732-45b2-936a-d795c4269e91,simple | complex,"Superb. Simplicity represents the unified, essential source of IS, while complexity represents the intricate, multi-layered manifestation of IT.","Most members view this one differently. Most players associate the ""primary source"" with IS and the ""involved structure"" with IT."
316c619f-8aaf-416b-9b92-3d9c385ed1e3,sound | silence,"Great intuition. Sound is the active, vibrating energy of IS, while silence represents the unmanifested, still background of IT.","Interesting take, though it’s not the common one. The crowd maps the ""audible wave"" to the flow of IS and the ""void"" to the baseline IT."
15611561-9c76-4861-a16c-16c444020ac3,special | normal,"You are in sync with the Construct. Being special implies a unique, singular expression of IS, while normal represents the standardized, mass structure of IT.","That isn't how the majority perceives this pair. Most players map the ""unique spark"" to IS and the ""common mold"" to the material IT."
835f46b1-68e9-409b-8789-0ca227110682,sun | moon,"Way to go. The sun is the primary, radiant source of light (IS), while the moon is a reflective, cold, and physical surface (IT).","The crowd's consensus shifted the other way. Most see the ""radiating animator"" as IS and the ""reflective object"" as the material IT."
d041c2c1-f0f4-4075-bddd-8509dfcdf236,superior | inferior,"Exactly right. Superiority is often mapped to the higher-frequency or ""overhead"" state of IS, while inferior represents the lower, grounded density of IT.","While an interesting angle, most players didn’t agree. The crowd typically maps the ""elevated"" to the source of IS and the ""subordinate"" to the structure of IT."
52bb7e7f-f3fa-4f57-94d9-16a3781b264e,tool | toy,"Exactly right. A toy represents the free-form, spontaneous play of IS, while a tool is designed for a specific, structured utility in IT.","The crowd doesn’t concur on this one. Most players map the ""imaginative play"" to IS and the ""fixed purpose"" to the material structure of IT."
da114a78-1dd0-4b8d-8b3c-dc254738a76b,top | bottom,"Logically sound. The ""top"" represents the higher-frequency, expansive ""overhead"" of IS, while the ""bottom"" is the grounded, dense foundation of IT.","Most players didn’t see it that way. The majority perceives the ""elevated"" position as the source of IS and the ""base"" as the material IT."
